Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C2, C3, C4, C5, C6",1206,9,1206B475K500NT,
"C10, C11, C12",0805,3,0805CG103J500NT,
"C16, C17, C18",CP_Radial_D5.0mm_P2.00mm,3,HG1H226M0508PC,
"C19, C21, C23, C25, C28, C29, C7, C8, C9",0805,9,CC0805KRX7R9BB104,
"C20, C22",1206,2,CGA5L2C0G1H104JT0Y0N,
"D1, D2, D3",0805,3,C2297,
D4,D_SOD-123F,1,SMF12CA,
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX6126AASA50+,
J1,39-30-Y040,1,39300040,
J2,SMA_Amphenol_132134-16_Vertical,1,HJ-SMA429,
"J3, J4",PinSocket_1x14_P2.54mm_Vertical,2,PM254-1-14-Z-8.5,
J5,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,KH-BNC50-3511,
"JP1, R12, R5, R7",0805,4,0805W8F0000T5E,
"JP2, JP3",0805,2,DNP,
"L1, L2, L3",L_Taiyo-Yuden_MD-3030,3,SWPA3015S330MT,
"R1, R2, R3",0603,3,0603WAF470JT5E,
"R10, R9",0805,2,0805W8F1002T5E,
"R11, R14, R15, R8",0805,4,0805W8F1003T5E,
"R13, R4",0805,2,0805W8F3162T5E,
R16,0805,1,0805W8F6800T5E,
"R18, R19",0805,2,PTFR0805B1K00N9,
R20,0805,1,0805W8F1000T5E,
R21,1206,1,ARG06BTC1001,
R22,1206,1,PTFR1206B1K50P9,
R23,0805,1,AR05FTBW0500,
R6,0805,1,AR05BTCW3502,
TP1,TestPoint_Pad_D1.0mm,1,Ref,
TP2,TestPoint_Pad_D1.0mm,1,Out/2.5,
TP3,TestPoint_Pad_D1.0mm,1,Out,
"U1, U2",TSOT-23-5,2,ADP7118AUJZ-R7,
U3,TSOT-23-5,1,ADP7182AUJZ-R7,
U4,SO-6L_10x3.84mm_P1.27mm,1,"TLP2770(TP,E",
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX14850ASE+,
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,MAX5719AGSD+,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2192IDR,
