Designator,Footprint,Quantity,Value,LCSC Part #
R16,R_0805_2012Metric,1,1k5,
C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
L1,SRF0905501Y,1,PSCLAQ0905-102Y,
R21,R_0805_2012Metric,1,330,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
D1,D_SOD-323_HandSoldering,1,1n5819ws,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,COS227USR,
C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,2.2uF,
C26,CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,1,TAJB106K025RNJ,
R12,R_0805_2012Metric,1,0805W8J0107T5E,
R14,R_0805_2012Metric,1,0805W8F1004T5E,
C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C30,C_0805_2012Metric,1,0.1uF,
H1,MountingHole_3.2mm_M3,1,MountingHole,
C13,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,2.2uF,
C14,C_0805_2012Metric,1,DNP,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,COS227USR,
R15,R_0805_2012Metric,1,1k5,
J4,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
TP1,TestPoint_Pad_D1.5mm,1,TestPoint,
C11,C_0805_2012Metric,1,DNP,
C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C28,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,10uF,
L3,L_Taiyo-Yuden_MD-3030,1,SWPA3012S330MT,
J3,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
C16,C_0805_2012Metric,1,0.1uF,
R19,R_0805_2012Metric,1,0805W8J0107T5E,
R5,R_0805_2012Metric,1,1k,
R18,R_0805_2012Metric,1,0805W8F1004T5E,
R9,R_0805_2012Metric,1,22k,
C29,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,2.2uF,
SW1,SW_SPDT_ST-0-103-C03-N003-RS,1,ST-0-103-C03-N003-RS,
R23,R_0805_2012Metric,1,1k5,
U2,TSOT-23-5,1,ADP7118AUJZ,
C31,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,10uF,
U4,TSOT-23-5,1,ADP7182AUJZ,
C2,C_2225_5664Metric_Pad1.80x6.60mm_HandSolder,1,C,
C25,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
R8,R_0805_2012Metric,1,2k2,
R7,R_0805_2012Metric,1,2.2k,
R6,R_0805_2012Metric,1,1k,
R4,R_0805_2012Metric,1,22k,
C1,C_1206_3216Metric,1,C,
C10,CP_EIA-3528-12_Kemet-T,1,TAJB106K025RNJ,
J2,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
C9,CP_EIA-3528-12_Kemet-T,1,TAJB106K025RNJ,
L4,L_Taiyo-Yuden_MD-3030,1,SWPA3012S330MT,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SGM3209YS8G,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,COS227USR,
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47,
C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R10,R_0805_2012Metric,1,15k,
C12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,2.2uF,
C3,C_0805_2012Metric,1,0805CG103J500NT,
C15,C_0805_2012Metric,1,0.1uF,
C27,CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,1,TAJB106K025RNJ,
R22,R_0805_2012Metric,1,470,
R1,R_0805_2012Metric,1,0,
R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47,
R13,R_0805_2012Metric,1,100,
C23,C_0805_2012Metric,1,0805CG103J500NT,
C24,C_0805_2012Metric,1,0805CG103J500NT,
R20,R_0805_2012Metric,1,330,
R11,R_0805_2012Metric,1,390k,
D2,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,C2297,
RV1,Potentiometer_Bourns_3224W_Vertical,1,3224W-1-504E,
C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C19,C_0805_2012Metric,1,0805CG103J500NT,
C33,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,10uF,
R17,R_0805_2012Metric,1,470,
C22,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C21,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C32,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,2.2uF,
C18,C_0805_2012Metric,1,0805CG103J500NT,
